"Compound Name" Mass RT K-1 K-10 K-11 K-12 K-13 K-14 K-15 K-16 K-17 K-18 K-19 K-2 K-20 K-21 K-22 K-23 K-24 K-25 K-26 K-27 K-28 K-29 K-3 K-30 K-4 K-5 K-6 K-7 K-8 K-9 12V0a 13V0 14V0 15V0 16V0 10V0 17V0 11V0 18V0 19V0 20V0 22V0 23V0 24V0 26V0 12V0B 27V0 28V0 29V0 30V0 32V0 25V0 33V0 34V0 35V0 39V0 38V0 36V0 40V0 QC_1 QC_10 QC_11 QC_12 QC_2 QC_3 QC_4 QC_5 QC_6 QC_7 QC_8 QC_9 ...75 "K - controls"
105.0304@1.13 105.0304 1.13 10290.45909 18064.27089 4540.972795 30691.10072 20527.58304 10458.71478 13097.47713 520.6630696 6344.697427 19765.123 20646.90648 0 12976.75175 21304.15129 6129.227869 5810.21457 23457.33602 9267.732015 0 3837.857061 10831.58576 9855.051704 13993.81048 13735.71796 18038.43691 0 25466.61898 0 22502.11511 23268.35418 21972.7823 14036.82904 20570.29116 28484.6286 3666.204352 15752.41572 17400.30466 0 13924.32971 11867.41306 15068.83324 0 7028.096278 0 25404.52652 12703.97491 2895.531553 0 3210.128531 0 23833.82442 34688.98864 12674.10029 10891.88015 5511.060222 0 0 0 7680.450675 13406.34763 11122.26453 11516.29762 0 12186.87489 11829.71084 14634.08331 11101.23024 4534.866755 13513.2593 16204.6192 10802.16507 NA NA
106.0634@2.96 106.0634 2.96 5899.455865 6728.349182 2237.098136 0 6169.957611 4271.572777 5305.914974 0 5030.447761 1838.415904 1553.024694 7099.026713 10609.01704 10019.77456 6350.634974 4300.308811 5620.47545 0 1131.964885 9301.963034 5450.754165 6591.873339 0 6924.317773 8140.615401 8133.331651 0 3287.935032 7806.431069 5487.628496 9738.48443 0 1581.420243 10037.58303 0 5006.413663 10521.88906 5972.074496 8421.624601 0 4937.057123 9434.24425 2599.305567 1471.813051 5513.267754 7640.921528 8376.154515 6363.146025 7598.018982 5845.471695 4835.415197 7941.610241 1364.283894 8032.528695 7772.854512 5651.447167 5512.937304 7471.146505 1045.11786 57727.84707 59677.86152 62407.34835 60501.19873 66325.79736 57407.76057 69262.24952 59817.30054 60372.44536 59540.85098 63805.28589 57743.96001 NA NA
117.0791@5.85 117.0791 5.85 144525.9553 46291.27628 170105.5837 46133.4087 140376.3858 145365.6844 136656.9011 62109.9655 135691.3784 52782.26486 29554.09166 81774.96343 193666.6026 49368.76438 76568.5926 82685.9228 125531.6761 57028.99749 65368.46949 72891.13903 12740.28194 158271.7693 135947.2891 153306.6212 116327.9844 136574.8096 151981.3923 25535.87837 58245.69852 191478.3166 69984.3364 68352.37389 140218.1194 85449.08426 123501.9598 78923.61357 67866.98262 66517.1916 150513.9626 67151.36516 66507.88175 130411.646 142114.1602 148056.6023 57918.50031 74359.9803 139099.6712 72177.41766 65063.9299 158351.6979 166880.3612 136520.6935 136761.7101 150457.3775 126983.1226 157481.3964 144681.1549 157314.6205 144047.6407 57139.52485 150746.9807 155402.2621 186350.7934 62922.35355 152131.087 142232.2653 57311.36623 173611.7907 138365.9963 155466.6046 150185.8458 NA NA
123.0797@10.16 123.0797 10.16 634082.7478 1076232.47 907868.3885 647706.6119 1139167.498 881075.0714 471418.4409 1271613.005 994718.4782 1069975.269 1009784.627 1457488.231 1009991.477 636313.1401 242304.8164 1288568.904 1035136.933 747932.9231 882443.7584 390538.157 1125149.306 1048812.929 1052974.252 261704.5092 492307.4991 852691.894 404822.6217 296360.326 325517.7571 1173117.072 1184854.856 382894.2058 856694.6886 898417.1155 514005.8608 1243008.673 1142132.37 370508.8084 467119.4354 958791.0114 622798.3579 879620.3413 1072866.733 672180.9655 1395833.275 1316717.235 551818.6755 1272934.665 585263.933 932987.0059 528023.6175 194325.6201 689332.6538 545026.313 890471.4274 530366.3735 1149206.937 981829.6908 699121.0354 1137329.215 1007077.929 936639.7709 657743.2648 962556.4443 873898.7602 1169224.287 787908.0311 946278.6008 1169882.001 681000.0224 746982.5523 NA NA
123.0796@9.57 123.0796 9.57 377830.542 579206.6667 309001.259 1211143.847 344733.7371 361217.4313 484666.5034 394975.5294 390406.4377 210628.6475 332142.2807 546543.3752 253762.9234 481863.3481 363895.945 187123.8398 326515.5116 359501.7934 432114.5524 432532.2469 373832.6173 439566.7183 249789.6545 381201.1732 358937.6309 219245.0696 424853.2008 863600.8983 516991.2483 361851.4822 602365.3507 460758.6539 493373.3487 0 399692.5731 1280546.461 412065.133 350794.9513 370699.4267 382148.683 383824.0208 360634.6842 402401.516 886589.0157 395196.4913 332880.9505 370387.2356 487489.51 394442.7272 386893.3853 235339.7111 253663.418 478987.1487 406557.3028 364508.4489 720347.7482 591871.414 201821.7961 498934.5359 368020.3592 390769.7824 337054.2428 936020.0514 317917.046 469467.8477 285662.8076 476299.4183 345585.6932 441004.8571 413916.8726 593634.8018 NA NA
123.991@8.22 123.991 8.22 20147.20003 13180.43221 11937.96948 12342.49804 20387.39885 8873.733168 17330.21773 14607.17777 17065.98183 13439.37457 22032.38667 2573.329754 13741.07683 10930.27686 21988.43274 16418.89947 11040.25521 13211.54494 21281.91495 14736.76679 10285.98178 13006.85738 9516.027672 17737.24492 17186.8969 15790.3916 18880.23395 23424.2385 9666.541965 13997.0885 19097.14585 6964.664069 10303.87169 10466.47373 22105.501079999998 16088.21389 22062.9371 9802.056407 17280.11191 12529.82077 20095.81199 11290.96646 11813.37003 20501.22019 11735.75722 24574.28991 18904.83808 11441.44521 19523.08645 11663.17743 12364.03986 7833.615739 9466.395728 17691.2064 7452.66793 20882.82726 16889.17259 8859.322441 13064.04679 12746.53309 12454.37589 14713.34828 11070.41376 10199.88429 12310.80641 16079.00291 16270.44547 9720.552081 15313.29568 18157.78918 9004.512938 NA NA
127.0994@7.05 127.0994 7.05 55496.88939 43351.51981 60897.40774 57139.64297 44600.54902 45636.44553 63232.40514 60128.29817 38204.38139 55149.51355 56160.50281 39527.90584 47058.90047 41860.21832 42876.96764 36436.71775 40353.9194 59046.76782 52992.4044 71039.23941 51310.744960000004 46124.97098 54830.72465 50285.85996 60020.13867 54002.44587 56562.71766 61316.4709 35072.16209 24817.89606 65998.42762 38081.47889 32161.63673 27100.07289 58052.88577 36610.00828 43271.14707 58361.66296 40405.06232 62381.54647 43392.22965 49129.52843 51383.54123 36773.70167 39355.20214 63148.0058 41964.11732 31821.50777 30181.23689 40986.69339 58127.05953 53613.6841 42743.19098 59132.96637 42501.49985 37453.50543 55351.41338 25758.22352 59270.0405 43409.10051 48549.98133 40910.08626 46979.24552 47003.6629 42424.36365 45463.54705 44221.40002 46462.95366 43855.48382 47325.94078 42820.70899 NA NA
129.0428@1.32 129.0428 1.32 62284.78409 25421.91718 38620.62574 58180.19623 56870.61111 25473.95799 60812.96829 11382.31344 28285.21778 25305.17344 74122.44468 24669.97277 36111.41339 24743.82365 16516.31948 61078.74265 42207.76978 18241.45953 29118.68748 27736.95228 42361.18579 31726.92354 17144.61377 26602.18504 79098.99385 77653.43336 16302.29712 15430.87508 30168.85092 48692.85584 53312.74674 72617.12991 31325.11143 41624.30718 28407.10475 97169.83003 42894.53129 70689.19681 34769.23848 36281.82438 23434.67577 28085.03724 33736.70728 15437.61309 13103.37242 21195.55763 9141.246395 6985.256633 28117.89847 45297.95255 50640.61519 54715.98514 20107.84912 26853.36044 21388.36823 44155.7783 36087.39664 22680.58832 33374.11965 37070.48934 34393.53008 40528.8553 42903.96854 34732.3784 41646.85573 44669.58495 36722.56324 41012.46512 33799.7744 42224.62698 39578.72119 NA NA
129.0579@2.51 129.0579 2.51 20675.86649 18128.18417 17366.2487 20825.05124 116241.9739 27279.20741 22640.61766 12735.49588 15955.28729 20726.51767 30635.51976 14396.23057 23294.58726 12631.77889 27227.01373 19893.07697 40475.63566 16941.56619 20056.97808 9195.852861 32098.60956 14231.5187 20373.35417 73113.46516 30504.98511 33044.62073 13739.35174 17638.82782 13954.64705 49906.50102 18677.08359 20652.16956 13565.14461 24035.80298 8890.666319 25310.95468 19554.58561 20032.15624 10276.02201 10911.17808 12698.66225 9743.822744 4397.702774 13308.29545 8907.068057 36503.57692 9342.94815 47000.29728 24264.84366 15816.77526 19928.17127 17071.45948 36725.03934 9997.25423 12689.98861 10504.0545 17349.51991 6301.158586 15124.31997 23432.38292 21900.47945 22380.53452 20696.53768 21142.82085 21627.4966 21959.23641 18454.17301 19984.29836 20482.23712 18727.72546 21097.81776 NA NA
131.0946@7.04 131.0946 7.04 52244.97942 40201.02295 57779.119 50350.83026 41189.3658 43647.68803 57053.4198 56186.89244 13773.52609 57378.59227 51637.66986 45174.66838 13994.40544 42376.2138 42135.78002 35362.04147 39816.86372 17254.37968 46161.20464 75530.73641 43357.2739 44207.01583 52718.0974 54059.24452 69506.13298 46920.2264 51215.29266 52124.31255 44019.70814 32866.20494 51945.60129 27511.19256 7513.244292 27318.79239 59841.06504 30789.26523 57868.17192 33082.82128 44249.43161 63085.60209 35678.88298 49018.12871 46890.81366 32421.28421 34322.67159 60611.24538 31732.73536 16592.94558 32223.21591 41581.30991 46769.03458 50698.00962 39982.17388 62864.28855 38388.99053 41469.81676 59131.55241 35021.12965 57508.714 48183.30354 35183.84293 45226.61227 37846.84057 48746.22596 40411.62239 44612.85899 38705.73659 32566.1669 44779.11815 39164.09243 41068.60841 NA NA
134.1098@7.04 134.1098 7.04 40344.62105 30411.47935 42547.9597 40419.17802 32612.68152 33478.15169 39204.23727 44351.90492 29233.17319 40222.99052 36843.8359 33187.27037 27914.74122 35690.74422 28795.9798 34134.07065 32601.15624 44410.70743 33450.44186 51044.381 38986.97174 34168.37884 24663.68272 39841.28277 47078.26319 35250.57824 34104.87626 33228.41537 36234.59716 15477.58042 50490.58197 24105.56197 28529.71477 21148.75089 38828.32298 28817.63701 37627.48437 39589.32786 29399.44368 43527.75547 29629.96216 41870.11638 25751.36553 26459.07206 27807.32368 46575.02377 29119.44706 17822.87748 21741.85363 32081.30388 38540.67262 43880.59873 32668.17018 41756.71237 31800.16134 32961.61684 41969.27235 11676.09523 38920.49278 37348.08848 34958.04311 32701.09695 36787.73532 32367.89928 39100.59739 34757.4679 36423.9876 27734.65705 34653.86062 32955.90752 33725.17189 NA NA
137.0587@1.27 137.0587 1.27 0 9036.402933 5857.333093 55252.19215 83426.48625 34762.04993 45657.06585 13868.19409 20686.88303 56911.01848 24281.21499 532007.2867 47080.35202 102212.6038 9347.802197 58079.87232 89671.01859 207191.9346 9676.321994 172888.8149 112126.3788 336665.644 401367.6773 191709.2983 244430.7947 143928.6392 35671.10684 266558.9031 50389.73814 13177.70741 29708.65567 0 10748.20131 20868.28508 4734.961251 15859.89089 24156.26358 10025.75668 9767.449518 13131.51992 22394.50223 12491.89627 2880.694744 27879.88197 21034.08264 54717.71956 13608.69913 37354.838710000004 16986.63946 8304.221759 208699.1265 67136.43181 83473.89843 0 11753.8677 77017.11865 36922.82327 165621.3695 8161.941374 84069.60128 73329.86011 78962.71749 78842.83917 74384.46233 83771.64668 75240.49383 76723.24893 78767.3815 68835.81442 67667.63265 76202.93131 NA NA
138.1081@7.04 138.1081 7.04 45599.20585 24077.35516 25622.88984 8089.083304 41409.94881 38281.93551 47652.89392 31422.26348 32312.6802 43491.02422 50372.46617 22059.70704 21061.17708 29561.78843 17361.63663 27291.22734 22808.29565 48036.59211 43210.79578 60696.05961 37863.40814 29080.03968 33232.44282 57632.00871 52593.99922 30944.66946 26068.49849 36566.95767 13379.96101 18615.28669 37917.78878 16282.9711 1635.455455 12118.48195 40434.14341 8084.046574 29780.83369 27967.1754 30481.26267 33771.31517 17410.16596 42100.50409 45552.9683 28847.3106 15984.09148 55241.89076 26266.5286 7641.721855 15146.35701 30055.59902 23176.24509 28615.16025 18422.75765 35344.52574 20578.40318 38951.5223 42146.1704 2815.663307 53026.92693 27962.28029 24027.90873 20813.55927 38442.59452 28481.11 26783.25838 23384.87404 26638.5207 30667.06935 32993.41691 24593.59224 35568.9906 NA NA
139.0609@10.32 139.0609 10.32 58977.66797 71117.3055 65340.11247 44245.43021 64409.09615 58540.60787 51443.5223 66096.70329 62368.73845 62180.01373 60824.83232 56537.65318 66299.18735 59715.98251 55330.20309 70427.07319 58025.05325 53581.12566 52475.70682 53665.75828 65702.01413 47763.79963 59691.50346 63084.60595 56499.37264 61106.28099 50521.95347 58004.9377 55828.08553 63341.04581 62191.56331 61303.46618 46517.28453 55406.67374 54905.53211 67400.23838 65712.60812 58605.45015 53301.35135 55961.58141 58791.29328 54451.47192 57810.13953 52262.39643 55793.52483 67274.7127 50181.15476 45900.40507 58581.47988 59725.9641 43957.562 46965.01671 53404.97858 53398.36403 53070.12838 52921.96671 73736.83433 57433.64806 57131.53274 54469.76402 68553.62781 66358.3925 67592.39343 59847.61668 64045.53843 55411.51001 59470.49141 59181.60859 63319.853 66068.41699 61550.49379 NA NA
139.061@8.19 139.061 8.19 31548.72349 40582.94869 69308.55472 40932.13436 43170.6809 27836.81102 45841.02546 59164.73021 54974.17557 35063.56033 37090.69328 36119.43965 31007.78297 55601.55235 48167.49163 52932.448 39651.89512 39689.15078 23390.10043 32372.20409 43095.3621 39433.51728 46532.41193 37941.99156 41412.38564 35483.02549 39326.53205 46748.12411 37800.63911 46897.07857 71704.61415 44981.17229 37931.22572 48341.36011 53564.37361 34289.5248 42962.46194 37987.16917 75638.40353 36561.11671 85772.77923 49678.49039 39379.76507 34695.83809 66625.48702 58522.91581 33728.25441 36633.06463 69748.93877 42029.82168 47471.23365 40707.4867 63059.14107 37125.16828 44298.45838 85255.20834 33076.38308 38772.3949 69911.88659 34208.34031 36524.82488 64823.59993 43275.37067 33808.24633 54972.15964 40158.19308 50611.77805 49368.35993 53982.60114 54647.96672 38022.4564 NA NA
139.0608@5.76 139.0608 5.76 26088.42239 18045.30587 12991.8865 15165.57496 45611.63806 9246.285206 17734.60517 19794.93885 19190.63201 19310.48524 17702.83023 23778.7468 26399.63795 17057.29505 35822.11018 26717.63357 13532.09054 32338.92513 41270.78318 49836.94172 24217.8562 12551.39276 13402.65137 17568.96492 27723.19863 12431.47567 7274.737223 18315.87681 11095.51242 7950.497702 38188.43207 23855.21123 24665.32736 24529.58238 22537.53901 11460.04289 31221.10525 34583.918 28464.50948 19994.94894 24559.64299 19757.68926 27524.35598 20970.18344 11862.85663 8562.235633 36524.80781 23424.79826 16007.09563 28433.22476 10939.79225 18362.44648 23536.46641 22311.22666 28810.9033 11625.34073 32101.47948 12651.91147 33029.73668 12194.34723 26189.16742 23087.42381 25475.49631 29974.20624 28583.10204 21393.40618 8364.889343 23549.48472 46402.15608 17581.67901 26187.91295 NA NA
141.1151@7.04 141.1151 7.04 49108.75069 35910.44824 49242.268 42868.43803 42367.56208 41064.52926 51569.8866 51897.92925 34826.79578 52453.28481 48979.08242 36352.00717 34167.76495 36289.30956 37115.87461 30831.37586 32337.14453 55414.01007 36993.15033 62793.61851 48270.36341 32885.00251 48668.34024 48526.64538 56647.23234 39505.68559 49892.64449 42675.96817 34985.99076 28757.25523 61368.72019 27031.00801 22047.91921 22706.19752 51484.87979 31457.20557 39616.30819 51019.50938 34347.18495 55592.94193 32458.1351 45811.21029 46470.37121 20948.02458 27680.31383 56210.74357 29262.25914 16950.90847 25135.73354 32169.83288 47309.906969999996 43324.77983 35342.65043 51096.81585 36102.92893 38681.0871 52537.69532 24551.40957 49292.04931 37966.45594 36002.48492 38636.29364 35835.45049 37843.76372 39448.84992 38633.34894 39842.20552 36576.88766 40408.60429 36774.10282 36413.33513 NA NA
142.9517@10.15 142.9517 10.15 219934.7242 228881.2399 237048.1883 160124.0397 227209.6623 213609.9076 156016.9888 227771.9513 234030.2614 201621.3098 228111.8122 251241.9866 212804.9353 191122.2287 223649.4602 171882.9745 183986.1732 197083.0795 162842.447 169218.86060000001 261796.2517 199083.8974 43001.92694 170292.7736 212803.9483 52527.63852 158290.086 196892.4938 231721.5422 198691.778 250953.1152 92714.04427 250531.2911 0 49218.71752 192951.1919 236518.3961 147468.5709 193619.3893 153807.5954 174458.7354 177845.0569 245957.4709 189592.687 29337.23193 247912.1258 233673.5757 151484.6623 210596.9071 206712.181 161144.9032 194265.7328 197363.3569 206273.3773 144411.8866 240924.4499 200287.11060000001 0 194278.8317 217940.1971 263121.1101 212236.2807 248319.8697 223985.4449 164859.8672 186979.3719 193819.3513 239888.2475 206039.2901 191424.863 233251.209 NA NA
146.1092@10.32 146.1092 10.32 18366.38537 16299.592130000001 19175.23951 17499.56575 16599.69872 16440.34118 18830.90574 14501.92114 13882.64547 17481.96386 16611.88463 14386.59882 14498.66881 12111.94609 15928.85018 17769.10923 15842.14246 9982.589434 19318.59837 16635.99213 14047.36655 14117.78758 17454.79121 21069.3342 20358.23759 14507.56924 20649.31834 22329.50859 18005.78304 15485.05078 16594.90928 16489.40164 12205.04683 6670.41118 17746.70869 14389.55103 13349.11605 15801.91336 22808.7292 17853.87324 18950.70596 17593.80822 16313.98219 19111.27661 11743.72233 16690.77056 16142.23511 12839.77897 13170.78617 15948.19101 18766.46825 14900.11803 18551.87633 11542.35537 16121.185 15371.45446 16760.01052 19578.10465 18398.8271 18322.73657 15315.93923 16172.73431 16677.28557 18897.53352 17525.69737 16756.4346 15552.49376 15103.88124 16861.97035 14865.08199 16223.0918 NA NA
152.1193@7.59 152.1193 7.59 26899.61036 16283.78634 14496.11309 33137.67452 26655.12367 26198.74371 22170.55741 30631.24601 31283.95105 22353.37239 19854.11062 34905.9918 23024.82854 29172.78566 48575.66214 28039.4978 35269.64511 33097.42212 25517.65345 31808.81229 20879.78847 25612.63024 37107.62461 52837.02581 20576.5993 26590.14119 19039.4051 23941.63471 26177.02332 37235.24497 25848.05632 15978.23403 18484.19935 13479.28677 26159.5633 14686.68734 28951.02308 34515.88417 16124.59673 17034.58053 20422.6937 24893.20092 35777.81789 24343.18644 16044.56885 24529.38575 17406.66073 11947.80316 33000.26101 14970.76296 21609.44286 26213.81401 44070.68912 23524.09315 28146.53158 25091.55986 20988.71216 22376.76514 21735.29588 22215.8818 20561.26391 25354.20743 24714.30137 23306.56113 22892.17674 17684.02023 20516.28314 30417.87618 19817.60492 20754.08434 23102.06007 NA NA
